ID,Title,Speakers,Published?,Pinned?,Start Date & Time,End Date & Time,Type/Track,Description,Venue,Physical Address,Link To Image File,Video Stream,Tags,Custom Filter 1,Custom Filter 2,Custom Filter 3,Custom Filter 4,Host Organization,Feedback Survey URL,about,Manager Emails,Collect y/n
108,Opening remarks and Key Open Source Databases Strategies That Shape 2022,Ann Schlemmer; Peter Zaitsev,Y,N,2022-05-17 08:30:00,5.17.2022 9:05 AM,Keynote,"It has been an exciting year in the open source database industry, with more choice, more cloud, and key changes in the industry. We will dive into the key developments over 2022, including the most important opensource database software releases in general, the significance of cloud-native solutions in a multi-vendor, multi-cloud world, the new criticality of security challenges, and the evolution of the open source software industry.",Zlotnik Ballroom,,,,,,,,,,,,,
109,How is open source shaping up to survive and thrive in the Roaring 20’s?,Amanda Brock,Y,N,2022-05-17 09:05:00,5.17.2022 9:20 AM,Keynotes,"<ul><li>In a time of turbulence can our immature open source model survive attack?</li><li>Why does it matter that open source is not a business model?</li><li>Why is open source open to use for any purpose by anyone?</li><li>How do our Governments adopt secure open source ?</li></ul><br>This challenging talk questions the status quo in strategic and topical view of open source, its usage, commercialization and place in the world as a public or common good. This talk is dedicated to our colleagues in the #opensource communities in Ukraine, #standwithukraine",Zlotnik Ballroom,,,,,,,,,,,,,
11,Build a Powerful Alerting Platform by Integrating Alertmanager With PMM,Ananias Tsalouchidis; Tibor Korocz,Y,N,2022-05-17 17:00:00,5.17.2022 5:50 PM,Partner,"Percona Monitoring and Management (PMM) is known for its great monitoring functionality. However, its integrated alerting capability, as of now implemented, is limited and sometimes complex to manage.<br><br>The Alertmanager handles alerts sent by client applications. It takes care of deduplicating, grouping, and routing them to different receivers such as email, PagerDuty, or OpsGenie. With PMM and Alertmanager combined, you can build a powerful monitoring and alerting system that will alert you through multiple communication channels if either a simple health check fails or in case of a pattern change that may indicate an issue.",Classroom 202 M2,,,,,,,,,,,,,
110,The Future of Percona Products,Donnie Berkholz,Y,N,2022-05-17 09:30:00,5.17.2022 10:00 AM,Keynotes,"Donnie will share where Percona products are headed over the next few years, as well as a major announcement. Everyone who's using or considering Percona software or services will want to attend this keynote.",Zlotnik Ballroom,,,,,,,,,,,,,
111,The Complete MariaDB Tutorial,Colin Charles,Y,N,2022-05-16 09:00:00,5.16.2022 12:00 PM,Tutorial,"The MariaDB Server is loaded with lots of new features to increase data integration, performance, availability, scalability, and orchestration. We will cover the features where MariaDB Server is enhanced compared to MySQL, where it differs, how to harness its new features (e.g., CONNECT engine, Galera Cluster, Oracle compatibility, etc.), and most importantly, how to get the most out of MariaDB. This is a practical hands-on session that will leave an intermediate MySQL with knowledge on how to be an effective MariaDB DBA.",Salon 2 Zlotnik L,,,,,,,,,,,,,
112,"Deploying Highly Available, Durable Amazon RDS for PostgreSQL and for MySQL Databases With Multi-AZ With Two Readable Standbys",Vijay Karumajji; Pandit Prasad,Y,N,2022-05-18 09:30:00,5.18.2022 10:20 AM,Live Streaming,"Amazon Relational Database Service (Amazon RDS) for PostgreSQL and for MySQL now supports a new Amazon RDS Multi-AZ deployment option with one primary and two readable standby database (DB) instances across three Availability Zones (AZs). With this new option, Multi-AZ users can get up to 2x faster transaction commit latency compared to one standby, typically under 35 second failovers, and additional read capacity. In this session, learn about the new option, how it compares to other high availability options, and see a demo on how to get started.",Salon 1 Zlotnik L,,,,,,,,,,,,,
113,Efficient MySQL Performance,Daniel Nichter,Y,N,2022-05-18 14:00:00,5.18.2022 2:50 PM,Live Streaming,"MySQL performance can be challenging for new software engineers because where does one begin? Even experienced engineers can find MySQL performance challenging because it's not their area of expertise. <br><br>In this talk, I show a path to learning and achieving better MySQL performance by focusing on the most important topics for software engineers using MySQL, not aspiring DBAs. Focus is the ""efficient"" in the title of this talk and my recently published book, Efficient MySQL Performance (O'Reilly 2022), where I explore and layout the path in detail.",Salon 1 Zlotnik L,,,,,,,,,,,,,
114,Postgres and the Artificial Intelligence,Ibrar Ahmad,Y,N,2022-05-18 09:30:00,5.18.2022 10:20 AM,Live Streaming,"Artificial intelligence, machine learning, and deep learning are intertwined capabilities that attempt to solve problems that defy traditional computational solutions --- problems including fraud detection, voice recognition, and search result recommendations. While they elude simple computation, they are computationally expensive, involving the calculation of perhaps millions of probabilities and weights. These computations can be done outside the database, but there are specific advantages of doing machine learning inside it, close to where the data is stored. This presentation explains how to do machine learning inside the Postgres database.",Salon 1 Zlotnik L,,,,,,,,,,,,,
115,PostgreSQL Challenges,Bruce Momjian,Y,N,2022-05-18 08:45:00,5.18.2022 9:05 AM,Keynotes,PostgreSQL challenges,Zlotnik Ballroom,,,,,,,,,,,,,
118,MySQL 8 New Features,Vinicius Grippa,Y,N,2022-05-16 15:45:00,5.16.2022 4:30 PM,Database 101 for Developers,"MySQL 8 has been among us for a while and brought some interesting features when it was launched. However, new features have been constantly added. In this talk, we will talk about the latest added features that can improve MySQL operations:<br><br><ul><li>DDL improvement such as parallelization</li><li>New server status variables (to improve monitoring and health analysis)</li><li>Performance Schema instrumentation</li><li>DROP / TRUNCATE operations</li><li>REDO log capabilities (archiving, disabling)</li><li>EXPLAIN tree format</li><li>Parallel read threads</li><li>INSTANT algorithm</li></ul><br>We will share our experience to help the audience become familiar with all the new features to extract the full potential of MySQL.",Classroom 201 M2,,,,,,,,,,,,,
119,Oracle to PostgreSQL Migration with Near Zero Downtime,Sumit Aneja; Vinay Kamble,Y,N,2022-05-17 16:00:00,5.17.2022 4:50 PM,MySQL,"Enterprises face many challenges to migrate off of legacy databases and embrace more open source database technologies. These legacy databases have vendor lock-ins, run on on-premise data centers, are difficult to maintain and are expensive to license.&nbsp; In this session, we will cover how Broadcom Software successfully migrated from an Oracle RAC Cluster to PostgreSQL HA Cluster with near zero downtime. We will go into specifics about migration methodologies, tools used, challenges encountered, data migration, data validation and PostgreSQL best practices. We will also share our experiences running PostgreSQL and some of the pitfalls to avoid.",Classroom 104 M1,,,,,,,,,,,,,
12,Managing PostgreSQL With Ansible,Andreas Scherbaum,Y,N,2022-05-17 10:30:00,5.17.2022 11:20 AM,PostgreSQL 1,"Ansible is an open source configuration management and deployment tool, which can be used to manage servers and software installations.<br><br>This talk will briefly cover Ansible itself, and then explain how Ansible is used to install and configure PostgreSQL on a server.<br><br>Demos will round up the talk.",Classroom 203 M2,,,,,,,,,,,,,
120,What’s New in Amazon Web Services,Barry Morris,Y,N,2022-05-17 10:30:00,5.17.2022 11:20 AM,Partner,"Amazon Web Services (AWS) is the world’s most comprehensive and broadly adopted cloud platform, offering over 200 fully-featured services from data centers globally. Millions of customers—including the fastest-growing startups, largest enterprises, and leading government agencies—are using AWS to lower costs, become more agile, and innovate faster. In this session, learn about the latest innovations, features, and capabilities from AWS.",Classroom 202 M2,,,,,,,,,,,,,
121,The Future of MySQL,Ed Huang,Y,N,2022-05-18 14:00:00,5.18.2022 2:50 PM,MySQL,"MySQL is undoubtedly one of the most successful SQL databases in the past decades. With the emergence of new scenarios and applications, the MySQL community is becoming more diverse than ever. In this talk, I will share my observations from a database designer's perspective in the MySQL community in the last few years, as well as some interesting new databases and some of my predictions for the future MySQL community and products.<br>Late in the session, I will share some great news about TiDB, the open-source distributed database we are working on.<br><br><br>",Classroom 104 M1,,,,,,,,,,,,,
122,Downsampling in PMM,Dima Lazerka,Y,N,2022-05-16 13:30:00,5.16.2022 2:15 PM,Advanced Database Topics,,Classroom 202 M2,,,,,,,,,,,,,
123,"Dude, where's my column? Building an object-oriented abstraction over Postgres",Colin McDonnell,Y,N,2022-05-17 14:30:00,5.17.2022 3:20 PM,PostgreSQL 2,"EdgeDB is a ""post-SQL"" database that aims to modernize the relational model for modern development. This talk will discuss:<br><ul><li>the usability issues with RDBMSes that inspired EdgeDB's creation</li><li>how EdgeDB extends the relational paradigm</li><li>the design of its query language EdgeQL</li><li>the broad strokes of its architecture</li><li>how it leverages the power of Postgres under the hood</li><li>future directions&nbsp;</li></ul>",Salon 2 Zlotnik L,,,,,,,,,,,,,
124,The Lost Art of Database Design,Pep Pla,Y,N,2022-05-18 10:50:00,5.18.2022 11:40 AM,Live Streaming,"The scalability of your application and your database is only as good as the database design you put behind it. &nbsp;Designing your schema, the database structures, and planning for the future need to happen early and needs to evolve over time. &nbsp;In today's rapid pace development cycles, the database design is often overlooked or even dismissed entirely. &nbsp;Databases and marketing teams tout ""Schemaless Designs"", database as a service, and new tech that makes caring about databases a thing of the past. &nbsp;I will explain why database design is as important as ever and I will give you the 8 things you need to design on every application regardless of which database or service you use.",Salon 1 Zlotnik L,,,,,,,,,,,,,
126,10 Reasons Why the TiDB Database Should Power Your Next Development Project,Jeff Bailey,Y,N,2022-05-18 15:00:00,5.18.2022 3:50 PM,PostgreSQL 1,"You have one database for online transaction processing (OLTP) and another for online analytical processing (OLAP). Does it have to be this way? Fortunately, it doesn't.<br><br>There is a new breed of database that combines the functionality of OLTP and OLAP databases. It's called HTAP (Hybrid Transactional Analytical Processing) and it is a game changer.<br><br>TiDB, from PingCAP, is the leading HTAP database. It transparently combines OLTP and OLAP functionality into a single, open source database. During this presentation we will discuss the technology that powers TiDB and describe how it can help you solve your most pressing data needs.<br><br>",Classroom 203 M2,,,,,,,,,,,,,
127,The future of databases is being decided for you…,Steve Hoffman,Y,N,2022-05-18 08:30:00,5.18.2022 8:45 AM,Keynote,,Zlotnik Ballroom,,,,,,,,,,,,,
128,State of the Dolphin,Frederic Descamps,Y,N,2022-05-18 09:05:00,5.18.2022 9:20 AM,Keynote,"I cover (very highly) what happened last year in MySQL development and thx our contributors. It's like a what have we done at MySQL last year, what have we improved, released etc...",Zlotnik Ballroom,,,,,,,,,,,,,
129,Unify Your Database Experience with Percona Platform,Barrett Chambers; Donnie Berkholz,Y,N,2022-05-18 11:50:00,5.18.2022 12:40 PM,Live Streaming,"Managing complex database environments is incredibly challenging across multiple open databases, spanning across clouds and on-premises. Learn how you can easily monitor, secure, and optimize your database environments on any infrastructure with Percona Platform. It brings together expert-curated database distributions, monitoring, and management tooling with Percona’s renowned expertise into a single product that helps DBAs focus on creating value.",Salon 1 Zlotnik L,,,,,,,,,,,,,
13,Simplifying the Top Complexities While Migrating From Oracle to PostgreSQL,Avinash Vallarapu,Y,N,2022-05-17 11:30:00,5.17.2022 12:20 PM,PostgreSQL 1,"This talk will cover simplifying some of the major complexities while performing migrations from Oracle to PostgreSQL. &nbsp;The following topics will be covered in detail, alongside a demo and a detailed explanation.<br><br><ul><li>Converting sysdate from Oracle to PostgreSQL. Among a variety of options available in Postgres, which one is correct?</li><li>Converting Hierarchical Queries from Oracle to PostgreSQL. Is Recursive CTE a correct alternative&nbsp;</li><li>Understanding Internals of the available solutions.</li><li>Implementing Associative Arrays in PostgreSQL.</li><li>Understanding the correct alternatives for Oracle Array Indexes and other complexities.</li></ul>",Classroom 203 M2,,,,,,,,,,,,,
130,Database-as-a-Service for a Hybrid Multicloud World,Krishna Kattumadam,Y,N,2022-05-17 13:30:00,5.17.2022 2:20 PM,Partner,,Classroom 201 M2,,,,,,,,,,,,,
131,Neon tech - Separation of storage and compute for Postgres,Bojan Serafimov,Y,N,2022-05-18 14:00:00,5.18.2022 2:50 PM,PostgreSQL 1,"In this talk we will introduce&nbsp;Neon - a new serverless fully managed Postgres which is open source and written in Rust.<br>The talk will cover Neon's architecture of separation of storage and compute and demonstrate how this architecture allows to build serverless, branchable, and bottomless Postgres as a service.<br><br><br>",Classroom 203 M2,,,,,,,,,,,,,
132,Making Postgres Central in Your Data Center,Bruce Momjian,Y,N,2022-05-17 13:30:00,5.17.2022 2:20 PM,MySQL 2,"Postgres has the unique ability to act as a powerful data aggregator in many data centers. This talk shows how Postgres's extensibility, access to foreign data sources, and ability handle NoSQL-like and data warehousing workloads gives it unmatched capabilities to function in this role.<br><br>",Classroom 105 M1,,,,,,,,,,,,,
133,Backup/Restore tools - performance and comparison,Vinicius Grippa,Y,N,2022-05-16 10:30:00,5.16.2022 11:15 AM,Database 101 for Developers,Backup/Restore tools - performance and comparison,Classroom 201 M2,,,,,,,,,,,,,
134,"Comparing DDL operations through several solutions like Aurora, Percona XtraDB Cluster and MySQL server",Francisco Bordenave,Y,N,2022-05-16 11:15:00,5.16.2022 12:00 PM,Database 101 for Developers,"Perform agile schema design, is the new frontier for DBA. The pressure to be able to modify and adapt the schema definition to the code needs and evolution is nowadays a must have for most of the software companies. Unfortunately the reality of what can be done natively by most of our RDBMS solutions is not facilitating this task.<br>In this presentation, we will illustrate what the current limitations are by comparing different solutions. We will also take a look at what is piling in the pot for new solutions and what to expect.",Classroom 201 M2,,,,,,,,,,,,,
14,The Top 10 Mistakes When Migrating Oracle Databases to PostgreSQL,Jim Mlodgenski,Y,N,2022-05-17 14:30:00,5.17.2022 3:20 PM,PostgreSQL 1,"Many major organizations like Amazon have moved their fleets of Oracle database to PostgreSQL, and many more are embarking on the change every day. As part of these migrations, a distinct pattern of mistakes has emerged that lead to project delays, performance issues, and frustration. These mistakes can be caused by the tools being used or just by not understanding how PostgreSQL is different than Oracle.<br><br>In this talk, we will discuss the top mistakes people generally make when moving to PostgreSQL from Oracle and what the correct course of action to take.",Classroom 203 M2,,,,,,,,,,,,,
15,"The Evolution of a MySQL Database, From a Single Instance to HA With Disaster Recovery",Frederic Descamps,Y,N,2022-05-17 10:30:00,5.17.2022 11:20 AM,Live Streaming,"From a single MySQL instance to multi-site high availability, this is what you will find out in this presentation. You will learn how to make this transition and which solutions best suit changing business requirements (RPO, RTO). Recently, MySQL has extended the possibilities for easy deployment of architecture with integrated tools. Come and discover these open source solutions that are part of MySQL.",Salon 1 Zlotnik L,,,,,,,,,,,,,
16,ProxySQL at Scale on AWS,Oleksandr Kuzminskyi,Y,N,2022-05-17 10:30:00,5.17.2022 11:20 AM,MySQL 2,"At Pinterest, the ProxySQL infrastructure fronts numerous heterogeneous databases. Due to the high number of unique configurations and dynamic nature of cloud deployments, it’s a challenge to reliably provision, change, auto-scale, and monitor ProxySQL servers. Applying Infrastructure as Code principles using Terraform, we made it possible to manage such a large fleet of ProxySQL instances confidently. Come learn how we automated provisioning, testing, and monitoring of ProxySQL at scale.",Classroom 105 M1,,,,,,,,,,,,,
17,PostgreSQL in the Cloud: DBaaS vs Kubernetes,Michal Nosek,Y,N,2022-05-17 10:30:00,5.17.2022 11:20 AM,Percona,"Applications in the cloud on Kubernetes are very common these days. Most of the time, they need a database (like PostgreSQL). There are two often considered alternatives:<br>1. Use DBaaS - for example, Google CloudSQL for PostgreSQL<br>2. Deploy the database on Kubernetes with the application<br><br>We'll compare those approaches from different angles to clarify the differences. You'll be better equipped to decide how to run PostgreSQL for your cloud-native application. We'll focus on Google CloudSQL and Percona Distribution for PostgreSQL Operator on Google Kubernetes Engine (GKE). Still, most of the knowledge is universal across cloud platforms and DBaaS solutions.",Classroom 106 M1,,,,,,,,,,,,,
18,Non-relational Postgres,Bruce Momjian,Y,N,2022-05-17 10:30:00,5.17.2022 11:20 AM,PostgreSQL 2,"This talk shows the many ways that Postgres has expanded to support non-relational storage, specifically the ability to store and index multiple values, even unrelated ones, in a single database field. &nbsp;The talk will cover examples of multiple-value-per-field storage, including arrays, ranges, geometry, full text search, xml, json, and records.",Salon 2 Zlotnik L,,,,,,,,,,,,,
19,How-to MySQL Performance Diagnostic Using Percona PMM,Marcos Albe,Y,N,2022-05-17 11:30:00,5.17.2022 12:20 PM,Live Streaming,"This session will give a live tour of how we use PMM at our Support department to systematically find the root cause of performance issues. &nbsp;We will showcase our bottom-up approach, based on the U.S.E. method by Brendan Gregg, and will diagnose a live workload that attendees themselves will have a chance to tweak during the presentation.",Salon 1 Zlotnik L,,,,,,,,,,,,,
2,MongoDB Monitoring and Alerting With PMM,Ivan Groenewold,Y,N,2022-05-17 11:30:00,5.17.2022 12:20 PM,MongoDB 1,"In this session we will cover PMM's latest developments in detail, which include new functionality for MongoDB like collection statistics, index usage and top command monitoring. We will also show you how to configure alerting via PMM's integrated alerting capabilities.",Classroom 201 M2,,,,,,,,,,,,,
20,Database Incident Management: When Everything Goes Wrong,Josh Varner,Y,N,2022-05-17 11:30:00,5.17.2022 12:20 PM,MySQL 2,"As database professionals, we're often the last line of defense for our companies' data. When the systems we manage go down, the consequences are usually severe. In this talk, we will discuss incident management practices that can help any DBA/DRE teamwork through tough issues, even when the pressure is high. We'll talk about tips that span the various stages of an incident: detection, alerting, response, postmortem, and prevention, and the different challenges a database team faces compared to other disciplines.",Classroom 105 M1,,,,,,,,,,,,,
21,MySQL Backups at Booking.com,Peter Boros; Nicolai Plum,Y,N,2022-05-17 11:30:00,5.17.2022 12:20 PM,Percona,"Booking.com is one of the largest travel e-commerce companies in the world. Booking.com uses MySQL at scale to power its online business. Business data needs backups, and backups at scale come with many challenges. We will tell you about the challenges we faced and the solutions we implemented.",Classroom 106 M1,,,,,,,,,,,,,
22,Using Roles and Partial Revokes To Improve Security in MySQL 8.0,Alexander Rubin,Y,N,2022-05-17 11:30:00,5.17.2022 12:20 PM,MySQL,"For many years MySQL had a problem with managing granular privileges: Anyone who had all privileges on a MySQL system database could grant all other privileges, including ""grant option"" and ""super."" That complicated managing privileges and resulted in a less secure setup. MySQL 8.0 introduced 3 critical features: 1. partial revokes 2. splitting SUPER privilege to more granular set and 3. roles. In this presentation, I will show how to use the new features to increase MySQL security and protect it from privilege escalations.",Classroom 104 M1,,,,,,,,,,,,,
23,Get Your Insecure PostgreSQL Passwords to SCRAM!,Jonathan Katz,Y,N,2022-05-17 11:30:00,5.17.2022 12:20 PM,PostgreSQL 2,"PostgreSQL 10 introduced SCRAM (Salted Challenge Response Authentication Mechanism) to securely authenticate passwords. The SCRAM algorithm lets a client and server securely validate a password without ever exchanging the password using a series of cryptographic methods!<br><br>In this talk, we will look at:<br><br><ul><li>A history of password storage and authentication in PostgreSQL</li><li>Flaws in each of the legacy PostgreSQL password-based authentication methods</li><li>How SCRAM works with a guided deep dive into the algorithm</li><li>Channel binding, which helps prevent authentication MITM attacks</li><li>How to safely set and modify your passwords, and how to upgrade to SCRAM-SHA-256</li></ul>",Salon 2 Zlotnik L,,,,,,,,,,,,,
24,PostgreSQL Replication Conflicts: Avoiding Pitfalls,Hamid Akhtar,Y,N,2022-05-17 13:30:00,5.17.2022 2:20 PM,PostgreSQL 1,"Experiencing replication conflicts is not too unfamiliar a sight. Whether one experiences replication lag, slots, locks, snapshots, tablespace issues, or other conflicts, establishing a set of best practices along with using proper observability tools will help avoid potential issues. This talk focuses on what to do and what not to in order to avoid database conflicts in streaming replication setups by providing deep insight into how issues are PostgreSQL internals.",Classroom 203 M2,,,,,,,,,,,,,
25,MariaDB Scaling - From Single Instance to Multiple Clusters,Michal Kuchta,Y,N,2022-05-17 13:30:00,5.17.2022 2:20 PM,Live Streaming,"In this session, we will follow the story of growing applications with respect to database architecture. From single-instance database on developer's machine to cross-DC multi-cluster HA setup using Galera, ProxySQL, and anycast routing.",Salon 1 Zlotnik L,,,,,,,,,,,,,
27,Best Practices To Run Percona Operator for MySQL,,Y,N,2022-05-17 13:30:00,5.17.2022 2:20 PM,Percona,"Percona Operator for MySQL (POM) is the first MySQL operator that can be considered production-ready. However, there are many small things that require attention to successfully run and manage your data using this solution.<br><br>The presentation will illustrate what you need to know before rolling out POM, and what you need once it is in production. Your takeaway will be a better understanding of the product and some practical instructions on what is needed in order to have a healthy setup.",Classroom 106 M1,,,,,,,,,,,,,
28,RocksDB Performance and Reliability Practices,Yoshinori Matsunobu,Y,N,2022-05-17 13:30:00,5.17.2022 2:20 PM,MySQL,"Meta/Facebook's database serving social workloads is running on top of MyRocks (<a href=""https://vldb.org/pvldb/vol13/p3217-matsunobu.pdf"">MySQL on RocksDB</a>). This means our performance and reliability depends a lot on RocksDB. Not just MyRocks, but also we have other important systems running on top of RocksDB. We have learned many lessons from operating and debugging RocksDB at scale.<br><br>In this session, we will offer an overview of RocksDB, key differences from InnoDB, and share a few interesting lessons learned from production.",Classroom 104 M1,,,,,,,,,,,,,
29,A Detailed Understanding of MVCC and Autovacuum Internals in PostgreSQL 14,Avinash Vallarapu,Y,N,2022-05-17 13:30:00,5.17.2022 2:20 PM,PostgreSQL 2,"PostgreSQL implements MVCC in a slightly different way when compared to databases like Oracle, MySQL, and others. In PostgreSQL, you'll see a different method for managing UNDO, which requires a cleanup concept called vacuum. It is now important for PostgreSQL admins/DevOps to understand the internals of autovacuum and the MVCC implementation. Let us discuss MVCC and autovacuum in this talk in detail.<br><br>This talk includes a discussion of the following topics in detail:<br><ul><li>MVCC and Autovacuum Internals in PostgreSQL.</li><li>Tuning Autovacuum.</li><li>Problems you may see in a busy OLTP database with untuned autovacuum settings.</li><li>Enhancements in PostgreSQL 14</li></ul>",Salon 2 Zlotnik L,,,,,,,,,,,,,
3,Walking Through Identifying and Drilling Into a Slow Down in MongoDB,,Y,N,2022-05-17 13:30:00,5.17.2022 2:20 PM,MongoDB 1,"In this session, we will be going through different areas which need to be examined in order to find the bottlenecks causing a slowdown in our MongoDB database, starting from database model, query pattern, indexing strategy, server resources, and need for scalability. We will be using Percona Monitoring and Management tool for the metrics and Query Analytics to deep dive into our database.",Classroom 201 M2,,,,,,,,,,,,,
30,Scaling Venmo Applications for Growth With Zero Database Downtime,Kushal Shah; Puneeth Melavoyraja,Y,N,2022-05-17 14:30:00,5.17.2022 3:20 PM,Live Streaming,"Venmo had 44% YoY TPV growth in 2021. Traffic growth and new product features resulted in many scalability challenges, including higher database connections, especially during high-velocity events throughout the year. <br><br>This talk will describe how we used proxy solutions for MongoDB and Aurora-MySQL to scale with traffic, various alternatives explored and driving factors narrowing down to a chosen approach. We will share how we migrated the traffic via proxy with zero downtime, challenges faced and solutions applied to achieve our goals. You can take away valuable lessons learned and get tips on how you could tackle similar challenges in your organization.",Salon 1 Zlotnik L,,,,,,,,,,,,,
